PlayerGagged,,,"You may wear gags in the cafe, but they do make it much harder to eat and drink.",,
120,125,lock me in leather.,"Yes, head maid DialogPlayerName.  (She secures and gags you with tight leather, locking every buckle.)",ServiceBound(Leather),
120,125,Cover me in latex.,"Yes, head maid DialogPlayerName.  (She uses latex items on you.)",ServiceBound(Latex),
120,125,Just bind me as secure as you can.,"Certainly, head maid DialogPlayerName.  (She binds you as thoroughly as she can, trying to impress you.)",ServiceBound(Heavy),IsHeadMaid
125,130,(Nod approvingly.),(She makes sure your tray is full.)  You are ready to serve in style now miss.,RefillTray(),
125,130,(Grunt and mutter at her.),(She makes sure your tray is full.)  I'm sorry head maid DialogPlayerName.  I've done all I can to help you.,RefillTray(),!CanDildo()
125,126,(Grunt and mutter at her.),Hmmm...  I think you need something to help you while you work.  (She uses an inflatable vibrating dildo on your Vulva.),GivenDildo(),CanDildo()
126,,No. Please take that out.,(She doesn't seem to hear you.),,
126,129,(Whimper and moan.),(She giggles at you and shakes her head as she makes sure your tray is full.)  You will be able to remove it as soon as you finish serving those drinks.,RefillTray(),
126,129,(Moan happily.),(She smiles at you as she makes sure your tray is full.)  I thought you would like that.  You can keep it in after you have served the drinks.,RefillTray(),
126,,(Groan and shake your hips.),(She takes out a remote presses a button on it.  Your inflatable vibrating dildo builds up to a moderate pace.),TurnDildoUp(),!VibeIncreased
126,,(Groan and shake your hips.),(She slowly pushes and pulls on the dildo sticking out of you.)  Look at you Miss.  Already on edge.  Any more stimulation though and you might spill those drinks.,,VibeIncreased
129,,(Stand there.),Those drinks won't serve themselves Miss.  You have a job to do.,,
129,,(Moan at her.),(She grins at you as she goes back to her work.)  You can enjoy that dildo as much as you like once those drinks are served.,,
129,0,"(Leave to serve the drinks, grinding your thighs together.)",,DialogLeave(),
130,0,(Leave her.),,DialogLeave(),
