PlayerGagged,,,"Silence is gold, and a gagged submissive is even better.",,,
RemoveVibratingEgg,,,"(She sighs as you remove the egg.)  Thanks, that was kind of embarrassing.",,,RemoveVibratingEgg
RopeBondageBasic,,,"(You wrap the rope around her legs, tying them together.)  You can do more advanced shapes if you want.",,,
RopeBondageMermaid,,,"(You wrap the rope around her legs, tying them in a mermaid pattern.)  You're doing well.",,,
RopeBondageBoxTie,,,"(You slowly restrain her arms in a box tie pattern as she nods.)  Basic, but efficient.",,,
RopeBondageWristTie,,,(You slowly restrain her wrists behind her back.) This is a nice start. Don't hesitate to add more.
RopeBondageWristElbowTie,,,(You restain her wrists and elbows behind her back.) Very nice. But more ropes would make it more effective.
RopeBondageWristElbowHarnessTie,,,(You restrain her wrists and elbows behind her back. And tie a harness around her.) Very nice and effective.
RopeBondageAllFours,,,(You restain her with ropes so she's on all fours.) Very good. I can see pet play lovers appriciating this tie.
RopeBondageRopeCuffs,,,(You restrain her wrists behind her back in a handcuff like tie.) Very interesting. I can see this tie working well for kidnappings. since it's fast and easy to tie.,,,
RopeBondageHogtied,,,(You use the ropes to restrain her in a tight hogtie.)  You're getting dangerous with these ropes.,,,
RopeBondageSuspension,,,(You restrain her legs with ropes and suspend her by the feet from the ceiling.)  Well done.  I'm impressed.,,,
RopeBondageSuspensionHogtied,,,(You carefully hogtie her and suspend her from the ceiling.)  Your technique is truly amazing.  Maybe you could teach here.,,,
RopeBondageCrotch,,,(You use a rope and restrain it on her crotch.)  This is too basic.  Try to elaborate some more.,,,
RopeBondageStar,,,(You use the rope and create a star harness around her body) This is a nice tie. Well done.,,,
RopeBondageHarness,,,(You use the ropes and create a harness around her body.)  You can link your harnesses to other restraints.,,,
RopeBondageWaist,,,(You use the ropes and create a waist rope around her body.) This is extremely simple. Please try something more complex.,,,
RopeBondageDiamond,,,(You use the ropes and create a diamond harness around her body.)  The art of Shibari flows into your veins.,,,
RopeBondageDiamond,,,(You use the ropes and create a diamond harness around her body.)  The art of Shibari flows into your veins.,,,
0,,,Konichiwa Miss.  You may restrain me however you want.  Take good care of the Dojo.,,AllowTeacherItem,
0,,,"Konichiwa, are you here to learn the fine art of Shibari?",,,
0,,"Hello there, I'm DialogPlayerName.","Welcome to the Dojo, I'm teacher DialogCharacterName.",DialogRemove(),,
0,,What's going on here?,I teach Shibari and Kinbaku in this Dojo.  I mostly restrain and release submissives.,,,
0,30,I'd like to learn more on rope bondage.,Very well.  How can I instruct you on the fine art of Shibari?,,,
0,,Can I tie you up?,"No, as the Dominant in the room, I need my freedom to supervise.",,"DialogReputationLess(""Dominant"", 74)",
0,,Can I tie you up?,"Your reputation as a Domme precedes you.  Yes, you may tie me up and take control of the Dojo.",StartTeacherBondage(),AllowTeacherBondage(),
0,,Get naked for your Shibari session.,Very well Miss DialogPlayerName.  (She strips down for you.),DialogNaked(CurrentCharacter),AllowTeacherStrip(),
0,10,Will you tie me up?,"Of course, with practice you will become a true escape artist.  Should I go easy on you or make it tight?",,AllowPlayerBondage(),
0,,(Spank her on the butt.),"(You spank her on the butt as she dangles on the rope.)  Ow!  Miss, I'm not a masochist.",Spank(),AllowSpank(),
0,40,Can I train with you?,"Yes, you can, but there's a hefty price.  Would you like to get better at using restraints or escaping from them?",,!Player.IsRestrained(),
0,,Can I train with you?,(She looks at you and giggles.)  Your training session will be to get out of that.,,Player.IsRestrained(),
0,,Let's talk later.  (Leave her.),,DialogLeave(),,
10,20,Please go easy on me.,Sure.  (She picks a hemp rope and restrain your arms loosely.)  Try to free yourself.,RestrainPlayer(1),,
10,20,A regular tie I guess.,Of course.  (She picks a few hemp ropes and restrain your arms and legs.)  Time to struggle.,RestrainPlayer(2),,
10,20,Make it tight.,Excellent.  (She gets long hemp ropes and restrains you securely.)  This won't be easy.,RestrainPlayer(3),,
10,20,Do your worst.,Perfect.  (She gets long hemp ropes and restrains you as tight as she can.)  Good luck.,RestrainPlayer(4),,
10,0,I've changed my mind.,It's fine.  Is there anything else you need?,,,
20,,,"Very good, you've made it.",,!Player.IsRestrained(),
20,,,"Don't give up, practice makes perfect.",,Player.IsRestrained(),
20,,I'm not sure I'll be able to escape.,"There's only one way, stop chatting and start working.",,Player.IsRestrained(),
20,,(Struggle playfully and giggle.),(She giggles.)  Well someone seems to be having fun.,SubComment(),Player.IsRestrained(),
20,,How do I get out?,"Try to grab the knots and struggle.  The more energy you put, the faster you should get out.",,Player.IsRestrained(),
20,,I surrender.  Please get me out.,"Struggle some more.  If you really cannot get out, I'll release you.",SurrenderToTeacher(),Player.IsRestrained(),
20,,(Whimper and make pleading eyes.),"Struggle some more.  If you really cannot get out, I'll release you.",SurrenderToTeacher(),Player.IsRestrained(),
20,,I'll escape on my own.  (Leave her.),,DialogLeave(),Player.IsRestrained(),
20,0,I've done it.  (Cheer and smile.),Well done.  I hope you learned some tricks.  Would you like to try again?,,!Player.IsRestrained(),
20,0,Piece of cake!  (Be cocky.),(She laughs.)  I hope you learned some tricks.  Would you like to try again?,DomComment(),!Player.IsRestrained(),
30,,What is Shibari?,"Shibari can roughly be translated as: ""to tie"".  It's an ancient form of rope bondage art coming from Japan.",,,
30,,Where can I get ropes?,They give free nylon ropes at the introduction class.  You can also buy hemp rope from the store.,,,
30,,There are many rope bondage positions?,"There's the box tie, the hogtie, the mermaid tie, the rope harnesses, suspension tie and many more.  Use a hemp rope on a body part and see how creative you can get.",,,
30,,How can I do advanced positions?,You first need to learn the ropes.  (She giggles.)  Tie other people up or train with me if you have some money to spare.,,,
30,0,That's all I wanted to know.,(She nods.)  Is there something else you need from the Dojo?,,,
40,,How much does it cost?,It depends on your current knowledge.  It can get quite costly if you want to become the very best.,,,
40,100,I'd like to learn new bondage techniques.,"(She analyzes your current knowledge.)  I could train you, but you'll need to pay the club MoneyAmount$ for the required time to train.","CalculateTrainingPrice(""Bondage"")","CanTrainSkill(""Bondage"")",
40,,I'd like to learn new bondage techniques.,(She analyzes your current knowledge.)  You're already a bondage Shujin.  There's nothing I can teach you.,,"!CanTrainSkill(""Bondage"")",
40,110,I'd like to learn on how to escape from restraints.,"(She analyzes your current knowledge.)  I could train you, but you'll need to pay the club MoneyAmount$ for the required time to train.","CalculateTrainingPrice(""Evasion"")","CanTrainSkill(""Evasion"")",
40,,I'd like to learn on how to escape from restraints.,(She analyzes your current knowledge.)  You're already an evasion Shujin.  There's nothing I can teach you.,,"!CanTrainSkill(""Evasion"")",
40,120,I'd like to learn on how to restrain myself.,"(She analyzes your current knowledge.)  I could train you, but you'll need to pay the club MoneyAmount$ for the required time to train.","CalculateTrainingPrice(""SelfBondage"")","CanTrainSkill(""SelfBondage"")",
40,,I'd like to learn on how to restrain myself.,(She analyzes your current knowledge.)  You're already a self-bondage Shujin.  There's nothing I can teach you.,,"!CanTrainSkill(""SelfBondage"")",
40,0,I've changed my mind.,(She nods.)  Is there something else you need from the Dojo?,,,
100,101,I'll pay right now.,Arigato!  (She takes your money and gives you lots of rope.)  You'll become a bondage Shujin very soon.,"PayForTraining(""Bondage"")",CanPayForTraining(),
100,0,I don't have enough money.,I'm sorry to hear that.  Is there anything else I can do for you?,,!CanPayForTraining(),
100,0,I'll think about it.,Very well.  Is there anything else I can do for you?,,,
101,102,(Train with her.),(She teaches you many tips and bondage techniques that you'll be able to use on future submissives.),,,
102,0,Domo Arigato.  You were a great teacher.,(She nods.)  It was my pleasure.  Come back anytime if you need more training.,,,
102,0,I can't wait to try this on my slaves.,(She grins.)  Come back anytime if you need more training.,"DialogChangeReputation(""Dominant"", 3)",,
110,111,I'll pay right now.,Arigato!  (She takes your money and get lots of rope.)  Give me your hands.  You'll become an escape artist very soon.,"PayForTraining(""Evasion"")",CanPayForTraining(),
110,0,I don't have enough money.,I'm sorry to hear that.  Is there anything else I can do for you?,,!CanPayForTraining(),
110,0,I'll think about it.,Very well.  Is there anything else I can do for you?,,,
111,112,(Train with her.),(She teaches you many tips and evasion techniques that you'll be able to use when you're restrained.),,,
112,0,Domo Arigato.  You were a great teacher.,(She nods.)  It was my pleasure.  Come back anytime if you need more training.,,,
112,0,I hope my Mistress will be proud of my progress.,(She grins.)  Come back anytime if you need more training.,"DialogChangeReputation(""Dominant"", -3)",,
120,121,I'll pay right now.,Arigato!  (She takes your money and gives you lots of rope.)  You'll become a self-bondage Shujin very soon.,"PayForTraining(""SelfBondage"")",CanPayForTraining(),
120,0,I don't have enough money.,I'm sorry to hear that.  Is there anything else I can do for you?,,!CanPayForTraining(),
120,0,I'll think about it.,Very well.  Is there anything else I can do for you?,,,
121,122,(Train with her.),(She teaches you about safety and shows you many self-bondage techniques that you'll be able to use on yourself.),,,
122,0,Domo Arigato.  You were a great teacher.,(She nods.)  It was my pleasure.  Come back anytime if you need more training.  Remember to stay safe.,,,
122,0,I can't wait to try this on myself.,(She grins.)  Come back anytime if you need more training.,"DialogChangeReputation(""Dominant"", -3)",,
MaidRescue,,,(She struggles in her restraints.)  Can you release me?,,IsTeacherRestrained(),
MaidRescue,,,(She bows her head respectfully.)  Arigato to you and to the maid sorority.,,!IsTeacherRestrained(),
MaidRescue,,Do you need help?,"(She shakes her head yes.)  Yes please, can you release me?",,IsTeacherRestrained(),
MaidRescue,,Should I help your student?,"No, just release me and I'll take care of her.",,IsTeacherRestrained(),
MaidRescue,MaidRescueComplete,Is everything alright now?,"Yes, Domo Arigato.  Please inform the sorority that everything is fine at the Dojo.  (She dresses back.)",CompleteRescue(),!IsTeacherRestrained(),
MaidRescue,,What happened here?,"A Japanese girl started to mess with my ropes.  I've tried to stop her, but she threw me on the floor, stripped and restrained me.",,"IsRescueScenario(""JapaneseGirl"")",
MaidRescue,,What happened here?,"A student dared me to try Shibari.  I thought she couldn't do it, but she did and left to get her camera.  I couldn't escape by myself.",,"IsRescueScenario(""RebelStudent"")",
MaidRescue,,What happened here?,"(She blushes.)  I wanted to try self-bondage and I somehow put the knots out of reach.  I got stuck like that, this is embarrassing.",,"IsRescueScenario(""SelfBondage"")",
MaidRescue,,What happened here?,Milady Head Mistress came in with customers and they wanted to try Shibari on me.  They had to hurry so they called the sorority to get me down.,,"IsRescueScenario(""HeadMistress"")",
MaidRescue,,(Spank her on the butt.),"(You spank her on the butt as she dangles on the rope.)  Ow!  Miss, I'm not a masochist.",Spank(),AllowSpank(),
MaidRescue,,I'll go get help.  (Leave her.),,DialogLeave(),,
MaidRescueComplete,0,Great!  A chore well done.,Absolutely.  Is there something I can do for you?,,,
MaidRescueComplete,0,No problem.  We are there to serve you.,This is great!  Is there something I can do for you?,"DialogChangeReputation(""Dominant"", -2)",,
MaidRescueComplete,0,"Alright, but be more careful next time.","I will, thanks.  Is there something I can do for you?","DialogChangeReputation(""Dominant"", 2)",,
